title,address,accsess,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
グレーヌ２３,東京都練馬区桜台２,"
西武有楽町線/新桜台駅 歩4分
西武池袋線/江古田駅 歩11分
東京メトロ有楽町線/氷川台駅 歩12分
","
新築
2階建
","
											1階",14万円,3000円,14万円,14万円,2LDK,46.89m2
仮称）中央５丁目メゾン,東京都中野区中央５,"
東京メトロ丸ノ内線/新中野駅 歩3分
ＪＲ中央線/中野駅 歩12分
東京メトロ丸ノ内線/東高円寺駅 歩12分
","
新築
2階建
","
											1階",18.8万円,4000円,18.8万円,37.6万円,2LDK,50.6m2
ザ・プレアデス,東京都品川区南品川２,"
京急本線/新馬場駅 歩3分
京急本線/青物横丁駅 歩8分
りんかい線/大井町駅 歩17分
","
新築
3階建
","
											3階",18.8万円,5000円,18.8万円,18.8万円,2LDK,60.79m2
カーサ　ワイ,東京都練馬区貫井３,"
西武池袋線/富士見台駅 歩5分
西武池袋線/中村橋駅 歩12分
都営大江戸線/練馬春日町駅 歩26分
","
新築
2階建
","
											1-2階",16.2万円,-,16.2万円,32.4万円,2LDK,68.06m2
桜台２丁目貸戸建,東京都練馬区桜台２,"
西武有楽町線/新桜台駅 歩5分
東京メトロ副都心線/氷川台駅 歩8分
西武池袋線/桜台駅 歩14分
","
新築
2階建
","
											-",19.8万円,-,19.8万円,19.8万円,2SLDK,65.2m2
レッティヒ　ウント　トラウベン,東京都練馬区春日町６,"
都営大江戸線/練馬春日町駅 歩5分
都営大江戸線/光が丘駅 歩14分
東京メトロ有楽町線/平和台駅 歩23分
","
築2年
2階建
","
											2階",16.6万円,5000円,16.6万円,24.9万円,2LDK,69.79m2
コスモグラシア板橋,東京都板橋区板橋４,"
都営三田線/新板橋駅 歩3分
ＪＲ埼京線/板橋駅 歩8分
東武東上線/下板橋駅 歩7分
","
新築
5階建
","
											5階",17.3万円,15000円,17.3万円,-,2LDK,46.44m2
都営三田線 新板橋駅 5階建 新築,東京都板橋区板橋４,"
都営三田線/新板橋駅 歩3分
ＪＲ埼京線/板橋駅 歩8分
東武東上線/下板橋駅 歩8分
","
新築
5階建
","
											5階",17.3万円,15000円,17.3万円,-,2LDK,46.44m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											2階",16.1万円,12000円,32.2万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											2階",16.2万円,12000円,32.4万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											3階",16.3万円,12000円,32.6万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											2階",16.3万円,12000円,32.6万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											3階",16.4万円,12000円,32.8万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											2階",16.5万円,12000円,33万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											3階",16.5万円,12000円,33万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											4階",16.5万円,12000円,33万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											4階",16.6万円,12000円,33.2万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											4階",16.7万円,12000円,33.4万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											3階",16.7万円,12000円,33.4万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											5階",16.7万円,12000円,33.4万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											5階",16.8万円,12000円,33.6万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											4階",16.9万円,12000円,33.8万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											5階",16.9万円,12000円,33.8万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											6階",16.9万円,12000円,33.8万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											6階",17万円,12000円,34万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											5階",17.1万円,12000円,34.2万円,-,2LDK,48.6m2
仮称）セレーノ水門通り,東京都大田区南六郷２,"
京急本線/雑色駅 歩10分
京急空港線/糀谷駅 歩23分
羽田空港行/六郷水門前 歩1分
","
新築
8階建
","
											6階",17.1万円,12000円,34.2万円,-,2LDK,48.6m2
